thisdir	thisf	uuid	device	date	config_scenario	config_profile	subject_id	session_number	session_started_at	session_ended_at	trial_number_session	trial_started_at	repetition	level_number	level_name	level_background	stage_number	objects_count	object1_name	object1_touch_diff_time	object2_name	object2_touch_diff_time	object3_name	object3_touch_diff_time	object4_name	object4_touch_diff_time	mandy_touch_diff_time	object_asked	object_asked_position	object_touched	object_touched_position	object_touched_at	stage_end	correct	feedback	spl	dif	lex
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	25	2016-03-23T09:05:27.263Z	0	12	Test_C4	desert	3	2	plonger	NA	pecher	NA	NA	NA	NA	NA	387	pecher	CENTER_RIGHT	pecher	CENTER_RIGHT	1917	touch_object	1	1	2	difficult	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	27	2016-03-23T09:05:49.294Z	0	14	Test_C5	beach	1	2	propre	NA	sale	NA	NA	NA	NA	NA	652	propre	CENTER_LEFT	sale	CENTER_RIGHT	1505	touch_object	0	1	1	moderate	adj
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	28	2016-03-23T09:05:57.782Z	0	14	Test_C5	beach	2	2	chaussures	NA	lits	NA	NA	NA	NA	NA	816	chaussures	CENTER_LEFT	lits	CENTER_RIGHT	1897	touch_object	0	1	2	easy	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	29	2016-03-23T09:06:06.799Z	0	14	Test_C5	beach	3	2	piedsnus	NA	jeune	NA	NA	NA	NA	NA	526	jeune	CENTER_RIGHT	jeune	CENTER_RIGHT	3342	touch_object	1	1	1	difficult	adj
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	31	2016-03-23T09:06:37.869Z	0	16	Test_C6	beach	1	2	livre	NA	ballon	NA	NA	NA	NA	NA	717	livre	CENTER_LEFT	ballon	CENTER_RIGHT	2044	touch_object	0	1	2	easy	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	32	2016-03-23T09:06:46.934Z	0	16	Test_C6	beach	2	2	serpent	NA	papillon	NA	NA	NA	NA	NA	1111	papillon	CENTER_RIGHT	papillon	CENTER_RIGHT	3032	touch_object	1	1	1	moderate	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	33	2016-03-23T09:06:57.368Z	0	16	Test_C6	beach	3	2	couteau	NA	crayon	NA	NA	NA	NA	NA	639	couteau	CENTER_LEFT	couteau	CENTER_LEFT	4611	touch_object	1	1	2	moderate	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	34	2016-03-23T09:07:08.919Z	0	16	Test_C6	beach	4	2	rouge	NA	grand	NA	NA	NA	NA	NA	896	grand	CENTER_RIGHT	rouge	CENTER_LEFT	1988	touch_object	0	1	1	easy	adj
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	36	2016-03-23T09:07:54.096Z	0	18	Test_C7	countryside	1	2	avion	NA	camion	NA	NA	NA	NA	NA	608	avion	CENTER_LEFT	avion	CENTER_LEFT	3034	touch_object	1	1	2	moderate	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	37	2016-03-23T09:08:04.056Z	0	18	Test_C7	countryside	2	2	cloche	NA	bougie	NA	NA	NA	NA	NA	1071	bougie	CENTER_RIGHT	cloche	CENTER_LEFT	4029	touch_object	0	1	1	difficult	noun
