"Date"	"CSV"	"Anon"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date"
"13/04/2016"	"C79030F7FBF143168C83AABC4F463FAB"	"M17"	"no"	""	""	"C79030F7FBF143168C83AABC4F463FAB"	115	"2016-04-13T08:20:32.000Z"	"Test_mix1_beg"	"massena"	"app_session_814.csv"	"13/04/2016"
"13/04/2016"	"10B54AD35AF84A4583847364F67E69B1"	"M26"	"no"	""	""	"10B54AD35AF84A4583847364F67E69B1"	116	"2016-04-13T08:40:25.000Z"	"Test_mix1_beg"	"massena"	"app_session_816.csv"	"13/04/2016"
"13/04/2016"	"DD628B42CBB34B058106278BB0F50083"	"M3"	"no"	""	""	"DD628B42CBB34B058106278BB0F50083"	213	"2016-04-13T08:21:45.000Z"	"Test_mix1_beg"	"massena"	"app_session_809.csv"	"13/04/2016"
"13/04/2016"	"1DC977F37B0140C490FEA172B9560E0B"	"M30"	"no"	""	""	"1DC977F37B0140C490FEA172B9560E0B"	214	"2016-04-13T08:44:16.000Z"	"Test_mix1_beg"	"massena"	"app_session_811.csv"	"13/04/2016"
"14/04/2016"	"991FDCFC5F32492183D955D579F9CD07"	"D11"	"no"	""	""	"991FDCFC5F32492183D955D579F9CD07"	215	"2016-04-14T08:11:40.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_817.csv"	"14/04/2016"
"14/04/2016"	"9C3ED3B5A5704E15826A07D9FF8DEC65"	"D19"	"no"	""	""	"9C3ED3B5A5704E15826A07D9FF8DEC65"	216	"2016-04-14T08:27:05.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_819.csv"	"14/04/2016"
"14/04/2016"	NA	"D21"	"yes"	"didn't want to play"	""	NA	NA	""	""	""	""	""
"14/04/2016"	"4C0DF5A626FA42A9BFAF26B6CF663125"	"D24"	"no"	""	""	"4C0DF5A626FA42A9BFAF26B6CF663125"	118	"2016-04-14T08:12:54.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_820.csv"	"14/04/2016"
"14/04/2016"	"410A82C51E644B658800F418626D50E9"	"D4"	"no"	""	""	"410A82C51E644B658800F418626D50E9"	119	"2016-04-14T08:21:39.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_821.csv"	"14/04/2016"
"15/04/2016"	"727D0E681EA341C59E9C99BAED2D2802"	"J23"	"no"	""	""	"727D0E681EA341C59E9C99BAED2D2802"	217	"2016-04-15T07:35:00.000Z"	"Test_mix1_beg"	"fautrier"	"app_session_832.csv"	"15/04/2016"
"15/04/2016"	"2EC281142BFA43739FE25377574763E9"	"M15"	"no"	""	""	"2EC281142BFA43739FE25377574763E9"	188	"2016-04-15T08:38:25.000Z"	"Test_mix1_beg"	"massena"	"app_session_837.csv"	"15/04/2016"
"15/04/2016"	NA	"M16"	"yes"	"didn't want to play"	""	NA	NA	""	""	""	""	""
"15/04/2016"	"8737E37D512846538D4813CA0F114952"	"M24"	"no"	""	""	"8737E37D512846538D4813CA0F114952"	218	"2016-04-15T08:13:19.000Z"	"Test_mix1_beg"	"massena"	"app_session_833.csv"	"15/04/2016"
"15/04/2016"	"97A4B4002E284C7288A0BF5128F036F2"	"M29"	"no"	"maybe sound problems, child performed until Test6"	""	"97A4B4002E284C7288A0BF5128F036F2"	121	"2016-04-15T08:16:50.000Z"	"Test_mix1_beg"	"massena"	"app_session_824.csv"	"15/04/2016"
""	""	""	""	""	""	""	NA	""	""	""	""	""
""	""	""	"51"	""	""	""	NA	""	""	""	""	""
