thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
C97D96DAE66346EFB9BB95F6973C1204	47	554	Espanol_Grupo1_imp	2016-04-27T21:23:57.000Z	cayetano	app_session_C97D96DAE66346EFB9BB95F6973C1204.csv
D820570F5C414C88BC0F3C98D4683A58	45	801	Espanol_Grupo2_preg	2016-04-28T13:11:28.000Z	cayetano	app_session_D820570F5C414C88BC0F3C98D4683A58.csv
DBA5B54C60BB4D5581C993B692B71C94	45	852	Espanol_Grupo2_imp	2016-04-28T13:25:03.000Z	cayetano	app_session_DBA5B54C60BB4D5581C993B692B71C94.csv
E3F0C642C8BE4464BAF441EF7471FF30	45	850	Espanol_Grupo2_imp	2016-04-28T12:55:24.000Z	cayetano	app_session_E3F0C642C8BE4464BAF441EF7471FF30.csv
EC144E2D3FB64275ADD85E438C92B160	47	856	Espanol_Grupo2_imp	2016-04-28T16:54:48.000Z	cayetano	app_session_EC144E2D3FB64275ADD85E438C92B160.csv
F0FAB07EE3A24B0FA7938CCE23400B0F	47	612	Espanol_Grupo2_preg	2016-05-06T16:42:58.000Z	cayetano	app_session_F0FAB07EE3A24B0FA7938CCE23400B0F.csv
F12D9DF011234EEBBBF7082602FB97A9	47	751	Espanol_Grupo1_preg	2016-04-27T17:07:11.000Z	cayetano	app_session_F12D9DF011234EEBBBF7082602FB97A9.csv
F1984777B1914DD2801E032BD56AA2BB	49	751	Espanol_Grupo1_preg	2016-04-27T17:18:13.000Z	cayetano	app_session_F1984777B1914DD2801E032BD56AA2BB.csv
F5BC49C8F3BB4F2C814A9FE2BAD29D33	52	756	Espanol_Grupo1_preg	2016-04-27T19:12:08.000Z	cayetano	app_session_F5BC49C8F3BB4F2C814A9FE2BAD29D33.csv
F77130A59DB848DF8EB02F0039CD222A	45	611	Espanol_Grupo2_preg	2016-05-06T14:23:53.000Z	cayetano	app_session_F77130A59DB848DF8EB02F0039CD222A.csv
F814F390C3E7421480A0F7B6A67C983F	51	555	Espanol_Grupo1_imp	2016-04-27T21:37:11.000Z	cayetano	app_session_F814F390C3E7421480A0F7B6A67C983F.csv
FD02B0CB5B12452194F584CB6419EDAD	47	551	Espanol_Grupo1_imp	2016-04-27T20:35:16.000Z	cayetano	app_session_FD02B0CB5B12452194F584CB6419EDAD.csv
FE8624717EA2470B81343ABA6EC34A13	45	552	Espanol_Grupo1_imp	2016-04-27T20:49:03.000Z	cayetano	app_session_FE8624717EA2470B81343ABA6EC34A13.csv
8DCB976C6E594979899FA0DC40AC6D5B	45	492	Espanol_Grupo2_imp	2016-05-18T11:19:07.000Z	others	app_session_8DCB976C6E594979899FA0DC40AC6D5B.csv
9019A95E1968432685B0E80CD57E65C2	1	492	Espanol_Grupo2_imp	2016-05-18T11:27:46.000Z	others	app_session_9019A95E1968432685B0E80CD57E65C2.csv
C3B83150337D4195BD744189ECDA6F15	1	491	Espanol_Grupo1_preg	2016-05-18T00:31:03.000Z	others	app_session_C3B83150337D4195BD744189ECDA6F15.csv
DE6E6E074C614C18A8A6CF7E04C29A56	45	491	Espanol_Grupo1_preg	2016-05-18T00:23:02.000Z	others	app_session_DE6E6E074C614C18A8A6CF7E04C29A56.csv
0FA2FF484CA246F08B2D7C0BB5EB5B3C	44	674	Espanol_Grupo1_imp	2016-05-11T11:36:03.000Z	pestalozzi	app_session_1063.csv
5985E061D52E44DF9F68116A33748B17	45	675	Espanol_Grupo1_preg	2016-05-11T11:49:11.000Z	pestalozzi	app_session_1064.csv
6C7F67507A96401C8AD8F40F308A295D	45	676	Espanol_Grupo1_preg	2016-05-11T12:03:21.000Z	pestalozzi	app_session_1065.csv
470311B9009C43868CEB80F75163B8ED	47	677	Espanol_Grupo1_preg	2016-05-11T12:18:01.000Z	pestalozzi	app_session_1066.csv
3349292E22994B0B8EB38FAD03EB9B88	47	678	Espanol_Grupo1_preg	2016-05-11T12:32:55.000Z	pestalozzi	app_session_1067.csv
5F0EEC93433B40AF8E2E51C12C48F743	46	679	Espanol_Grupo1_preg	2016-05-11T12:48:31.000Z	pestalozzi	app_session_1068.csv
0EA161BBE2354B7988AC275ABCE75FD4	45	680	Espanol_Grupo1_preg	2016-05-11T13:05:48.000Z	pestalozzi	app_session_1069.csv
5E97B46D7A0F4724847BC39E466F0B67	13	681	Espanol_Grupo1_preg	2016-05-11T13:18:53.000Z	pestalozzi	app_session_1070.csv
F2FF9A0FF8484E8C8B697E6B667716EA	46	682	Espanol_Grupo1_preg	2016-05-11T13:26:06.000Z	pestalozzi	app_session_1071.csv
5F3D147C2A1D4415B01AC1E67F50AB5E	1	683	Espanol_Grupo1_preg	2016-05-11T13:37:41.000Z	pestalozzi	app_session_1072.csv
7CF416BBF9E94EBEB72BBE484F045757	46	683	Espanol_Grupo1_preg	2016-05-11T13:38:26.000Z	pestalozzi	app_session_1073.csv
20779D3992BF480C831EA2D69B14F923	52	684	Espanol_Grupo1_preg	2016-05-11T14:08:37.000Z	pestalozzi	app_session_1074.csv
3B11028BFC6141919FE9ED726E911D86	47	685	Espanol_Grupo1_preg	2016-05-11T14:23:07.000Z	pestalozzi	app_session_1075.csv
E5FC6C234FBC42008FC5E1B230D376D4	45	686	Espanol_Grupo1_preg	2016-05-11T16:46:55.000Z	pestalozzi	app_session_1076.csv
F8D21C521D4841D78495FFDDE5D50B03	45	687	Espanol_Grupo1_preg	2016-05-11T16:59:21.000Z	pestalozzi	app_session_1077.csv
A0BB362AA9384C138FBAC99CB0EEB41D	45	688	Espanol_Grupo1_preg	2016-05-11T17:13:28.000Z	pestalozzi	app_session_1078.csv
5C2740A5A7A5440989B0AB9F2329AAAF	46	689	Espanol_Grupo1_preg	2016-05-11T18:20:33.000Z	pestalozzi	app_session_1079.csv
